28,FELONY ASSAULT                        ,222
28,BURGLARY                              ,82
28,GRAND LARCENY                         ,352
28,GRAND LARCENY OF MOTOR VEHICLE                                  ,39
28,TOTAL SEVEN MAJOR FELONY OFFENSES,920
30,MURDER & NON NEGL. MANSLAUGHTER                                ,3
30,RAPE                                  ,21
30,ROBBERY                               ,218
30,FELONY ASSAULT                        ,181
30,BURGLARY                              ,130
30,GRAND LARCENY                         ,244
30,GRAND LARCENY OF MOTOR VEHICLE                                  ,35
30,TOTAL SEVEN MAJOR FELONY OFFENSES,832
32,MURDER & NON NEGL. MANSLAUGHTER                                ,7
32,RAPE                                  ,27
32,ROBBERY                               ,261
32,FELONY ASSAULT                        ,295
32,BURGLARY                              ,82
32,GRAND LARCENY                         ,297
32,GRAND LARCENY OF MOTOR VEHICLE                                  ,31
32,TOTAL SEVEN MAJOR FELONY OFFENSES,1000
33,MURDER & NON NEGL. MANSLAUGHTER                                ,2
33,RAPE                                  ,19
33,ROBBERY                               ,202
33,FELONY ASSAULT                        ,200
33,BURGLARY                              ,118
33,GRAND LARCENY                         ,357
33,GRAND LARCENY OF MOTOR VEHICLE                                  ,29
33,TOTAL SEVEN MAJOR FELONY OFFENSES,927
34,MURDER & NON NEGL. MANSLAUGHTER                                ,1
34,RAPE                                  ,25
34,ROBBERY                               ,239
34,FELONY ASSAULT                        ,178
34,BURGLARY                              ,208
34,GRAND LARCENY                         ,433
34,GRAND LARCENY OF MOTOR VEHICLE                                  ,76
34,TOTAL SEVEN MAJOR FELONY OFFENSES,1160
40,MURDER & NON NEGL. MANSLAUGHTER                                ,8
40,RAPE                                  ,25
40,ROBBERY                               ,454
40,FELONY ASSAULT                        ,511
40,BURGLARY                              ,213
40,GRAND LARCENY                         ,586
40,GRAND LARCENY OF MOTOR VEHICLE                                  ,105
40,TOTAL SEVEN MAJOR FELONY OFFENSES,1902
41,MURDER & NON NEGL. MANSLAUGHTER                                ,2
41,RAPE                                  ,17
41,ROBBERY                               ,328
41,FELONY ASSAULT                        ,732
41,BURGLARY                              ,202
41,GRAND LARCENY                         ,403
41,GRAND LARCENY OF MOTOR VEHICLE                                  ,76
41,TOTAL SEVEN MAJOR FELONY OFFENSES,1760
42,MURDER & NON NEGL. MANSLAUGHTER                                ,12
42,RAPE                                  ,24
42,ROBBERY                               ,320
42,FELONY ASSAULT                        ,405
42,BURGLARY                              ,177
42,GRAND LARCENY                         ,320
42,GRAND LARCENY OF MOTOR VEHICLE                                  ,77
42,TOTAL SEVEN MAJOR FELONY OFFENSES,1335
43,MURDER & NON NEGL. MANSLAUGHTER                                ,9
43,RAPE                                  ,26
43,ROBBERY                               ,586
43,FELONY ASSAULT                        ,600
43,BURGLARY                              ,361
43,GRAND LARCENY                         ,708
43,GRAND LARCENY OF MOTOR VEHICLE                                  ,190
43,TOTAL SEVEN MAJOR FELONY OFFENSES,2480
44,MURDER & NON NEGL. MANSLAUGHTER                                ,9
44,RAPE                                  ,30
44,ROBBERY                               ,420
44,FELONY ASSAULT                        ,709
44,BURGLARY                              ,255
44,GRAND LARCENY                         ,642
44,GRAND LARCENY OF MOTOR VEHICLE                                  ,126
44,TOTAL SEVEN MAJOR FELONY OFFENSES,2191
45,MURDER & NON NEGL. MANSLAUGHTER                                ,5
45,RAPE                                  ,9
45,ROBBERY                               ,162
45,FELONY ASSAULT                        ,163
45,BURGLARY                              ,172
45,GRAND LARCENY                         ,439
45,GRAND LARCENY OF MOTOR VEHICLE                                  ,160
45,TOTAL SEVEN MAJOR FELONY OFFENSES,1110
46,MURDER & NON NEGL. MANSLAUGHTER                                ,9
46,RAPE                                  ,28
46,ROBBERY                               ,449
46,FELONY ASSAULT                        ,475
46,BURGLARY                              ,188
46,GRAND LARCENY                         ,441
46,GRAND LARCENY OF MOTOR VEHICLE                                  ,91
46,TOTAL SEVEN MAJOR FELONY OFFENSES,1681
47,MURDER & NON NEGL. MANSLAUGHTER                                ,9
47,RAPE                                  ,36
47,ROBBERY                               ,469
47,FELONY ASSAULT                        ,561
47,BURGLARY                              ,391
47,GRAND LARCENY                         ,491
47,GRAND LARCENY OF MOTOR VEHICLE                                  ,202
47,TOTAL SEVEN MAJOR FELONY OFFENSES,2159
48,MURDER & NON NEGL. MANSLAUGHTER                                ,4
48,RAPE                                  ,24
48,ROBBERY                               ,422
48,FELONY ASSAULT                        ,460
48,BURGLARY                              ,250
48,GRAND LARCENY                         ,506
48,GRAND LARCENY OF MOTOR VEHICLE                                  ,102
48,TOTAL SEVEN MAJOR FELONY OFFENSES,1768
49,MURDER & NON NEGL. MANSLAUGHTER                                ,2
49,RAPE                                  ,15
49,ROBBERY                               ,210
49,FELONY ASSAULT                        ,218
49,BURGLARY                              ,232
49,GRAND LARCENY                         ,360
49,GRAND LARCENY OF MOTOR VEHICLE                                  ,111
49,TOTAL SEVEN MAJOR FELONY OFFENSES,1148
50,MURDER & NON NEGL. MANSLAUGHTER                                ,2
50,RAPE                                  ,2
50,ROBBERY                               ,150
50,FELONY ASSAULT                        ,149
50,BURGLARY                              ,154
50,GRAND LARCENY                         ,415
50,GRAND LARCENY OF MOTOR VEHICLE                                  ,87
50,TOTAL SEVEN MAJOR FELONY OFFENSES,959
52,MURDER & NON NEGL. MANSLAUGHTER                                ,12
52,RAPE                                  ,26
52,ROBBERY                               ,473
52,FELONY ASSAULT                        ,484
52,BURGLARY                              ,354
52,GRAND LARCENY                         ,737
52,GRAND LARCENY OF MOTOR VEHICLE                                  ,120
52,TOTAL SEVEN MAJOR FELONY OFFENSES,2206
60,MURDER & NON NEGL. MANSLAUGHTER                                ,8
60,RAPE                                  ,18
60,ROBBERY                               ,309
60,FELONY ASSAULT                        ,283
60,BURGLARY                              ,214
60,GRAND LARCENY                         ,523
60,GRAND LARCENY OF MOTOR VEHICLE                                  ,66
60,TOTAL SEVEN MAJOR FELONY OFFENSES,1421
61,MURDER & NON NEGL. MANSLAUGHTER                                ,2
61,RAPE                                  ,19
61,ROBBERY                               ,248
61,FELONY ASSAULT                        ,199
61,BURGLARY                              ,346
61,GRAND LARCENY                         ,726
61,GRAND LARCENY OF MOTOR VEHICLE                                  ,126
61,TOTAL SEVEN MAJOR FELONY OFFENSES,1666
62,MURDER & NON NEGL. MANSLAUGHTER                                ,3
62,RAPE                                  ,16
62,ROBBERY                               ,235
62,FELONY ASSAULT                        ,181
62,BURGLARY                              ,308
62,GRAND LARCENY                         ,552
62,GRAND LARCENY OF MOTOR VEHICLE                                  ,110
62,TOTAL SEVEN MAJOR FELONY OFFENSES,1405
63,MURDER & NON NEGL. MANSLAUGHTER                                ,8
63,RAPE                                  ,13
63,ROBBERY                               ,165
63,FELONY ASSAULT                        ,186
63,BURGLARY                              ,196
63,GRAND LARCENY                         ,636
63,GRAND LARCENY OF MOTOR VEHICLE                                  ,92
63,TOTAL SEVEN MAJOR FELONY OFFENSES,1296
66,MURDER & NON NEGL. MANSLAUGHTER                                ,6
66,RAPE                                  ,7
66,ROBBERY                               ,137
66,FELONY ASSAULT                        ,150
66,BURGLARY                              ,277
66,GRAND LARCENY                         ,474
66,GRAND LARCENY OF MOTOR VEHICLE                                  ,140
66,TOTAL SEVEN MAJOR FELONY OFFENSES,1191
67,MURDER & NON NEGL. MANSLAUGHTER                                ,11
67,RAPE                                  ,50
67,ROBBERY                               ,519
67,FELONY ASSAULT                        ,569
67,BURGLARY                              ,388
67,GRAND LARCENY                         ,677
67,GRAND LARCENY OF MOTOR VEHICLE                                  ,169
67,TOTAL SEVEN MAJOR FELONY OFFENSES,2383
68,MURDER & NON NEGL. MANSLAUGHTER                                ,0
68,RAPE                                  ,4
68,ROBBERY                               ,98
68,FELONY ASSAULT                        ,102
68,BURGLARY                              ,236
68,GRAND LARCENY                         ,388
68,GRAND LARCENY OF MOTOR VEHICLE                                  ,119
68,TOTAL SEVEN MAJOR FELONY OFFENSES,947
69,MURDER & NON NEGL. MANSLAUGHTER                                ,3
69,RAPE                                  ,13
69,ROBBERY                               ,241
69,FELONY ASSAULT                        ,223
69,BURGLARY                              ,255
69,GRAND LARCENY                         ,363
69,GRAND LARCENY OF MOTOR VEHICLE                                  ,88
69,TOTAL SEVEN MAJOR FELONY OFFENSES,1186
70,MURDER & NON NEGL. MANSLAUGHTER                                ,8
70,RAPE                                  ,25
70,ROBBERY                               ,373
70,FELONY ASSAULT                        ,276
70,BURGLARY                              ,321
70,GRAND LARCENY                         ,720
70,GRAND LARCENY OF MOTOR VEHICLE                                  ,109
70,TOTAL SEVEN MAJOR FELONY OFFENSES,1832
71,MURDER & NON NEGL. MANSLAUGHTER                                ,6
71,RAPE                                  ,17
71,ROBBERY                               ,328
71,FELONY ASSAULT                        ,372
71,BURGLARY                              ,195
71,GRAND LARCENY                         ,639
71,GRAND LARCENY OF MOTOR VEHICLE                                  ,80
71,TOTAL SEVEN MAJOR FELONY OFFENSES,1637
72,MURDER & NON NEGL. MANSLAUGHTER                                ,5
72,RAPE                                  ,22
72,ROBBERY                               ,232
72,FELONY ASSAULT                        ,206
72,BURGLARY                              ,177
72,GRAND LARCENY                         ,437
72,GRAND LARCENY OF MOTOR VEHICLE                                  ,127
72,TOTAL SEVEN MAJOR FELONY OFFENSES,1206
73,MURDER & NON NEGL. MANSLAUGHTER                                ,15
73,RAPE                                  ,42
73,ROBBERY                               ,470
73,FELONY ASSAULT                        ,680
73,BURGLARY                              ,291
73,GRAND LARCENY                         ,465
73,GRAND LARCENY OF MOTOR VEHICLE                                  ,131
73,TOTAL SEVEN MAJOR FELONY OFFENSES,2094
75,MURDER & NON NEGL. MANSLAUGHTER                                ,18
75,RAPE                                  ,61
75,ROBBERY                               ,909
75,FELONY ASSAULT                        ,944
75,BURGLARY                              ,638
75,GRAND LARCENY                         ,1041
75,GRAND LARCENY OF MOTOR VEHICLE                                  ,291
75,TOTAL SEVEN MAJOR FELONY OFFENSES,3902
76,MURDER & NON NEGL. MANSLAUGHTER                                ,1
76,RAPE                                  ,7
76,ROBBERY                               ,104
76,FELONY ASSAULT                        ,103
76,BURGLARY                              ,92
76,GRAND LARCENY                         ,282
76,GRAND LARCENY OF MOTOR VEHICLE                                  ,48
76,TOTAL SEVEN MAJOR FELONY OFFENSES,637
77,MURDER & NON NEGL. MANSLAUGHTER                                ,12
77,RAPE                                  ,24
77,ROBBERY                               ,395
77,FELONY ASSAULT                        ,392
77,BURGLARY                              ,307
77,GRAND LARCENY                         ,551
77,GRAND LARCENY OF MOTOR VEHICLE                                  ,111
77,TOTAL SEVEN MAJOR FELONY OFFENSES,1792
78,MURDER & NON NEGL. MANSLAUGHTER                                ,1
78,RAPE                                  ,7
78,ROBBERY                               ,156
78,FELONY ASSAULT                        ,81
78,BURGLARY                              ,167
78,GRAND LARCENY                         ,530
78,GRAND LARCENY OF MOTOR VEHICLE                                  ,67
78,TOTAL SEVEN MAJOR FELONY OFFENSES,1009
79,MURDER & NON NEGL. MANSLAUGHTER                                ,13
79,RAPE                                  ,26
79,ROBBERY                               ,394
79,FELONY ASSAULT                        ,473
79,BURGLARY                              ,244
79,GRAND LARCENY                         ,482
79,GRAND LARCENY OF MOTOR VEHICLE                                  ,106
79,TOTAL SEVEN MAJOR FELONY OFFENSES,1738
81,MURDER & NON NEGL. MANSLAUGHTER                                ,6
81,RAPE                                  ,17
81,ROBBERY                               ,338
81,FELONY ASSAULT                        ,370
81,BURGLARY                              ,252
81,GRAND LARCENY                         ,433
81,GRAND LARCENY OF MOTOR VEHICLE                                  ,79
81,TOTAL SEVEN MAJOR FELONY OFFENSES,1495
83,MURDER & NON NEGL. MANSLAUGHTER                                ,7
83,RAPE                                  ,29
83,ROBBERY                               ,392
83,FELONY ASSAULT                        ,373
83,BURGLARY                              ,397
83,GRAND LARCENY                         ,553
83,GRAND LARCENY OF MOTOR VEHICLE                                  ,152
83,TOTAL SEVEN MAJOR FELONY OFFENSES,1903
84,MURDER & NON NEGL. MANSLAUGHTER                                ,1
84,RAPE                                  ,4
84,ROBBERY                               ,156
84,FELONY ASSAULT                        ,121
84,BURGLARY                              ,101
84,GRAND LARCENY                         ,653
84,GRAND LARCENY OF MOTOR VEHICLE                                  ,38
84,TOTAL SEVEN MAJOR FELONY OFFENSES,1074
88,MURDER & NON NEGL. MANSLAUGHTER                                ,6
88,RAPE                                  ,11
88,ROBBERY                               ,218
88,FELONY ASSAULT                        ,197
88,BURGLARY                              ,146
88,GRAND LARCENY                         ,433
88,GRAND LARCENY OF MOTOR VEHICLE                                  ,82
88,TOTAL SEVEN MAJOR FELONY OFFENSES,1093
90,MURDER & NON NEGL. MANSLAUGHTER                                ,6
90,RAPE                                  ,17
90,ROBBERY                               ,303
90,FELONY ASSAULT                        ,257
90,BURGLARY                              ,277
90,GRAND LARCENY                         ,667
90,GRAND LARCENY OF MOTOR VEHICLE                                  ,142
90,TOTAL SEVEN MAJOR FELONY OFFENSES,1669
94,MURDER & NON NEGL. MANSLAUGHTER                                ,1
94,RAPE                                  ,16
94,ROBBERY                               ,117
94,FELONY ASSAULT                        ,115
94,BURGLARY                              ,190
94,GRAND LARCENY                         ,493
94,GRAND LARCENY OF MOTOR VEHICLE                                  ,111
94,TOTAL SEVEN MAJOR FELONY OFFENSES,1043
100,MURDER & NON NEGL. MANSLAUGHTER                                ,3
100,RAPE                                  ,3
100,ROBBERY                               ,61
100,FELONY ASSAULT                        ,147
100,BURGLARY                              ,151
100,GRAND LARCENY                         ,173
100,GRAND LARCENY OF MOTOR VEHICLE                                  ,20
100,TOTAL SEVEN MAJOR FELONY OFFENSES,558
101,MURDER & NON NEGL. MANSLAUGHTER                                ,3
101,RAPE                                  ,19
101,ROBBERY                               ,148
101,FELONY ASSAULT                        ,212
101,BURGLARY                              ,227
101,GRAND LARCENY                         ,182
101,GRAND LARCENY OF MOTOR VEHICLE                                  ,61
101,TOTAL SEVEN MAJOR FELONY OFFENSES,852
102,MURDER & NON NEGL. MANSLAUGHTER                                ,7
102,RAPE                                  ,24
102,ROBBERY                               ,311
102,FELONY ASSAULT                        ,327
102,BURGLARY                              ,288
102,GRAND LARCENY                         ,490
102,GRAND LARCENY OF MOTOR VEHICLE                                  ,252
102,TOTAL SEVEN MAJOR FELONY OFFENSES,1699
103,MURDER & NON NEGL. MANSLAUGHTER                                ,8
103,RAPE                                  ,37
103,ROBBERY                               ,438
103,FELONY ASSAULT                        ,369
103,BURGLARY                              ,300
103,GRAND LARCENY                         ,487
103,GRAND LARCENY OF MOTOR VEHICLE                                  ,172
103,TOTAL SEVEN MAJOR FELONY OFFENSES,1811
104,MURDER & NON NEGL. MANSLAUGHTER                                ,3
104,RAPE                                  ,15
104,ROBBERY                               ,256
104,FELONY ASSAULT                        ,241
104,BURGLARY                              ,339
104,GRAND LARCENY                         ,572
104,GRAND LARCENY OF MOTOR VEHICLE                                  ,181
104,TOTAL SEVEN MAJOR FELONY OFFENSES,1607
105,MURDER & NON NEGL. MANSLAUGHTER                                ,3
105,RAPE                                  ,18
105,ROBBERY                               ,331
105,FELONY ASSAULT                        ,313
105,BURGLARY                              ,469
